伊朗,25,0
韩国,23,0
阿联酋,12,0
伊拉克,9,0
叙利亚,6,0
黎巴嫩,6,0
沙特,23,0
日本,22,0
澳大利亚,15,0
阿曼,14,0
中国,6,0
越南,4,0
